0,2018-06-17 195000.327002,0.060999,2.448898,2.550633,2.465567,100,1
1,2018-06-17 195000.327004,0.060352,2.448898,2.549986,2.46589,100,1
2,2018-06-17 195000.327006,0.059705,2.448898,2.549016,2.46589,100,1
3,2018-06-17 195000.327008,0.059058,2.448898,2.547723,2.466536,100,1
4,2018-06-17 195000.327010,0.058411,2.449222,2.548369,2.467829,100,1
5,2018-06-17 195000.327012,0.057441,2.449222,2.548046,2.468152,100,1
6,2018-06-17 195000.327014,0.057441,2.449545,2.547723,2.468798,100,1
7,2018-06-17 195000.327016,0.056793,2.449545,2.547723,2.469122,100,1
8,2018-06-17 195000.327018,0.056146,2.450839,2.547399,2.469445,100,1
9,2018-06-17 195000.327020,0.055823,2.45181,2.547399,2.469768,100,1
10,2018-06-17 195000.327022,0.054852,2.452781,2.547723,2.469768,100,1
11,2018-06-17 195000.327024,0.054529,2.453428,2.548046,2.469768,100,1
12,2018-06-17 195000.327026,0.053558,2.454075,2.546106,2.469768,100,1
13,2018-06-17 195000.327028,0.053235,2.454398,2.544489,2.470091,100,1
14,2018-06-17 195000.327030,0.05194,2.453428,2.542548,2.468798,100,1
15,2018-06-17 195000.327032,0.051617,2.453751,2.542872,2.471384,100,1
16,2018-06-17 195000.327034,0.051293,2.454398,2.542225,2.472677,100,1
17,2018-06-17 195000.327036,0.050323,2.453428,2.541578,2.473,100,1
18,2018-06-17 195000.327038,0.050323,2.454075,2.541901,2.473323,100,1
19,2018-06-17 195000.327040,0.049999,2.454075,2.541578,2.47397,100,1
20,2018-06-17 195000.327042,0.049029,2.454722,2.541255,2.47397,100,1
21,2018-06-17 195000.327044,0.048382,2.45731,2.541901,2.474293,100,1
22,2018-06-17 195000.327046,0.047734,2.458928,2.541901,2.474616,100,1
23,2018-06-17 195000.327048,0.046764,2.459575,2.541578,2.474293,100,1
24,2018-06-17 195000.327050,0.04644,2.460546,2.540608,2.47397,100,1
25,2018-06-17 195000.327052,0.045793,2.459898,2.539314,2.474293,100,1
26,2018-06-17 195000.327054,0.045146,2.460546,2.538344,2.474939,100,1
27,2018-06-17 195000.327056,0.044823,2.460546,2.538021,2.476878,100,1
28,2018-06-17 195000.327058,0.044499,2.460869,2.537051,2.477525,100,1
29,2018-06-17 195000.327060,0.043852,2.460869,2.537374,2.477848,100,1
30,2018-06-17 195000.327062,0.043205,2.461193,2.536727,2.478494,100,1
31,2018-06-17 195000.327064,0.041911,2.460546,2.536727,2.478494,100,1
32,2018-06-17 195000.327066,0.041911,2.461193,2.537051,2.478494,100,1
33,2018-06-17 195000.327068,0.04094,2.462487,2.537051,2.478817,100,1
34,2018-06-17 195000.327070,0.040617,2.465399,2.537374,2.48011,100,1
